标题,内容
大运CGC4181牵引车,◎潍柴WP10发动机搭载了全面优化升级后的潍柴WP10系列发动机，适应复杂的道路状况，满足不同用户的使用习惯。
大运CGC4252牵引车,◎欧式驾驶室欧式大空间驾驶室，人性舒适 全金属骨架，鸟巢式结构，并采用国内重卡首创特有吸能保险杠，四点悬浮设计，使得车身可承受50%以上的冲击力，安全性高，舒适性好。
大运CGC4253压缩天然气牵引车,压缩天然气牵引车CGC4253，采用了6×4的驱动形式， 配备了潍柴WP12系列功率为350380马力的气体发动机，并同时装备了法士特变速箱及汉德车桥，整车匹配国内一流， 另外还。
东沃DND4180KC35牵引车,安全性车顶天舱口紧急状态下的安全通道，从容应对突发事件 全视角反光镜设计合理的组合反光镜，确保驾驶员全视角无盲区，同时可选装电动加热后视镜，有效提高恶劣天气的行驶安全。
广汽日野SS2PLUAHUZ牵引车,全新照明系统立体前大灯与独立雾灯以及保险杠融为一体，适度降低投射高度 前大灯照明光线更集中 照明效果更佳，大幅提升车与行人辨识性 确保夜间行车安全并减少行车疲劳。
海斯特T7Z AC牵引车,最新交流牵引控制技术的采用，为客户提供更高性能的产品： 更大的扭矩、更快的速度、更高的可靠性，更好的热性能以及更加顺畅的加速过程。
合力AC系列四支点电动牵引车,技术特点:1. 主要用于机场、邮局、火车站及工业企业的物料运输，具有节能环保、操纵舒适等特点；2. 采用进口交流电机及交流电机控制器，控制方便，节约能源，效率高；3. 采用进口电桥。
合力QYD20S40S系列电动牵引车,内燃牵引车技术特点：● 以进口发动机为主体的优良动力及性能优越的传动系统配制，使得整机功率储备大，噪音低、环保性能好、可靠性高 ● 采用全液压（横置油缸）转向技术。
济南重汽HOVA系列低速牵引车,HOVA系列低速牵引车是中国重汽综合运用当前世界先进的汽车技术，选用成熟可靠的总成零部件研制开发的系列产品，主要性能指数达到国际同类车型的先进水平。
济南重汽HOWO 8×8全驱牵引车,HOWO 8×8全驱系列越野车是中国重汽综合运用当前世界先进的汽车技术，选用成熟可靠的总成零部件研制开发的系列产品。
江淮汽车格尔发牵引车,盘式制动器优点：热稳定性，水稳定性好；质量小、散热良好；制动协调时间短；易于实现间隙制动调整；制动性能进一步提升；符合危险品运输法规要求、盘式制动器在格尔发牵引车上均可选装。
靖江23吨NISSAN系列挡风玻璃KM内燃牵引车,产品特点：■ 该系列牵引车是引进日本日产公司先进的牵引车生产技术和发动机、自动变速器等部件组装，动力强劲、性能卓越、操纵舒适，达到国际先进水平，是替代进口的首选产品。
科朗TR 4500 系列牵引车,当您想到“牵引”，您就会联想到那股能拖动物体的力量 这正是为何Crown科朗拥有同类产品中最大和最好的动力装置，提供最强劲的动力以满足您对牵引力量的要求。
利得34.5吨电动牵引车,●34.5吨电动牵引车是区域物流的重要设备，主要用于汽车制造企业、汽车零部件企业及大型工业企业内部的物料运转●进口齿轮箱配国产交流电机组成的驱动单元，性能可靠。
利得825吨电动牵引车,●825吨电动牵引车属于区域物流技术领域的重要设备;电动牵引车相比内燃牵引车运行噪音低，无排放，具有节能环保、操纵舒适等特点，广泛应用于铁路、邮政、机场、工业企业、军工、烟草、商。
联合卡车4×2中长途运输牵引车,4×2中长途运输牵引车，在确保承载能力前提下实现了整体轻量化。
联合卡车6×4中长途运输牵引车,6×4中长途运输牵引车，通过优化整车结构，使用轻量化材料和新技术，在确保承载能力前提下实现了整体轻量化。
联合卡车轻量化牵引车,U460是联合卡车的旗舰车型，也是UE平台的代表之作。
林德P250电动牵引车, 根据人机工程原理设计的工作平台；  林德数字控制(LDC) 提供精确的控制；  自动制动使得操作更安全；  紧凑的车体在狭窄的环境中也能顺利工作。
林德P30站驾式电动牵引车,根据人机工程原理设计的工作平台 司机靠背高度可调 林德数字控制(LAC) 提供精确的控制   防潮，防尘保护的电机完全免维护。
青岛解放J5K 4X2牵引车,1.三铝轻量化设计 铝合金壳体变速箱、铝合金组合式储气筒、铝合金轮辋，少片簧，有效降低自重。
青岛解放J5M 6x2（铝合金）,满足城市物流要求，便于装卸货物； 2、铝合金翼开启厢式车，车箱尺寸大，承载能力强，自重轻，美观适用；。
青岛解放J5M 6x2（瓦楞板）,满足城市物流要求，便于装卸货物；2、瓦楞板翼开启厢式车，车箱尺寸大，承载能力强；3、箱体喷丸处理、富锌底漆，淋雨密封检测，不锈、不漏。
青岛解放J5M LNG 6×2(物流专用车)甩厢车,后簧气囊电控空气悬挂，过载保护功能 2、双气瓶设计 275L*2 LNG气瓶，带数字显示气量表。
青岛解放J6M 6×2（轻量化型）牵引车,1.2011款J6M半浮高顶驾驶室：大方美观，内部空间大，空气座椅，乘坐舒适，全钢结构，安全性高，风阻系数小 2.根据用户需求优化动力匹配，适应多工况使用条件。
青岛解放J6M 6x2牵引车,J6L半浮平顶排半驾驶室(带天窗、侧窗) 美观、大方，技术领先，驾乘安全舒适；2、道依茨2012发动机，扭矩大，排量适中，油耗低，可靠性高；3、6800车箱长度，满足法规，承载空间。
青岛解放悍V 6×2（轻量化 国Ⅳ）牵引车,整车轻量化设计，标配铝合金储气筒，同等配置，整车自重轻，领先国内同类车型，提高用户经济效益。
青岛解放天V 6×4（高效物流）牵引车,驾驶室，简洁大气的外观设计，宽敞舒适的内饰布局，稳固可靠的安全配备 标配电动后视镜，电动门窗，三锁合一，侧翼板和导流罩，CAN仪表，美观舒适，是V系的代表产品。
青岛解放途威 6×4（轻量化）牵引车,1.一汽锡柴330大马力发动机，动力强劲，整车匹配合理，省油耐用 2.整车轻量化设计，采用铝合金变速箱、铝合金组合式储气筒、少片簧，真空胎，有效降低自重。
青岛解放新大威 6×4（标载复合）牵引车,AMT自动变速箱，操作简单，减轻劳动强度，手自一体化，如轿车般轻松安全 降低油耗，节约资金支出；油耗低于手动挡，减少磨损，提高离合器寿命，无换挡过程，更快更省。
青岛解放新大威 6×4（复合型）牵引甩挂车,新大威驾驶室，性能优化，提升品质，换挡手柄置于驾驶室员右侧、降低座椅高度40MM，进一步提升操纵舒适性 2、锡柴11升420马力发动机，低转速、大扭矩。
青岛解放新大威 6X2轻量化 牵引车,同类型最轻的6×2牵引车；2、锡柴330马力发动机、12档变速箱，动力最佳组合；3、整车采用轻量化技术，提高用户使用效益；全车采用高端配置，致力打造中高端新大威产品；4、换档变速操。
青岛解放新大威 LNG 6×2（轻量化）牵引车,潍柴10升336马力NG发动机，大扭矩、低气耗，经济性好 2、新大威驾驶室，环绕仪表，空气座椅，美观舒适，安全密封性好，环绕外变速操纵机构，操纵灵活，方便。
青岛解放新大威LNG6×4(复合型)牵引车,"潍柴12升380马力NG发动机，动力性好,起步容易，动力足；经济性高，使用成本较同类柴油产品节省30%以上。"
青岛解放新悍威 6×2牵引车,新悍威平地板高顶加长150驾驶室，电动门窗，驾乘舒适；2、前盘后鼓制动器、单层板车架、少片簧、真空胎，诠释轻量化技术优势；3、锡柴CA6DL131E3F发动机，十档变速箱，动力性。
青岛解放新悍威 6X2 LNG牵引车,新悍威平地板高顶加长150全浮驾驶室，成熟稳重；2、潍柴WP10NG336E40国Ⅳ发动机，绿色环保接近“0”排放；3、2个450L气瓶，续驶里程达到900公里以上；4、LB轮减桥。
青岛解放新悍威 6X4大马力 牵引车,大马力牵引车，采用WP12.336N发动机，四气门缸，扭矩1600N.m，动力强，节油显著；2、457冲焊桥，国内使用最广泛的驱动桥，成熟可靠；3、整车采用轻量化技术，提高用户使。
青岛解放新悍威 6X4牵引车,国内整备质量最轻的6X4牵引车，整备质量7600kg；2、前桥盘式制动，电动门窗，驾驶员气囊座椅，平地板驾驶室，安全性、舒适性优秀；3、采用奥威8.6升发动机，动力强，省油效果公认。
青岛解放新悍威LNG6×2牵引车（轻量化）,"潍柴10升336马力NG发动机，动力性好,起步容易；经济性高，使用成本较同类柴油产品节省30%以上。"
上海振中ZZ5164XXYG5616C1牵引汽车,"该系列车型采用国内成熟中型车总成和零部件，匹配L2000新款驾驶室,产品具有较好的适应性、经济性及动力性,功率覆盖范围160PS―190PS 主要适用于城镇货物周转及中短途运输。"
沈阳山河QY65B牵引车,性能特点：QY65B牵引车是由山河开发部自主研制开发的集搬运、拖运、牵引为主的动力工具，具有牵引动力大，操作方便、转向灵活等特点，是矿山、车站、码头货物运输主要工具。
现代HBP15(07)牵引车,给您的工作效率带来革命性的提升用我们动力强劲且灵活的电动拖车，提高您的工作效率现代重工在工程机械领域有着丰富的经验，我们的产品完全能够满足客户的要求，40T（07）15P（07）。
徐工NXG4160D4ZA牵引车,T系列牵引车满足重负荷、多工况负载环境的使用需求，以高效率为开发导向，采用多种匹配布置方案和加大的动力传动速比区间，突出优越的性能，高效、可靠、安全、经济。
永恒力EZS 130牵引车,三相交流电技术的先驱者采用三相交流技术的永恒力电机，降低操作成本的同时更高效。
永恒力EZS 350牵引车,创新的三相交流电技术永恒力三相交流电机具有高效、经济的的特点，可减少叉车运营成本，其优点如下：高能效制动平稳，加速强劲转向迅速，无通常的迟滞现象无碳刷驱动电机免维护驱动电机2年保。
永恒力EZS 570牵引车,创新的交流电技术永恒力交流电机具有效率高，运营成本低及以下优点：能效更高强劲有力的加速表现最大速度高，即使是满载快速换向无迟滞无碳刷免维护驱动电机驱动电机两年质保舒适、安全的操作电。
詹阳动力JYL020H混合动力牵引机,无级变速，电子踏板2、四轮制动外加能量再生制动3、随车市电充装置4、充电模式安全保护。
中方机械电动牵引车座驾式,・整车特色 ・可靠性・先进性・可选配不同的控制系统・舒适性・可选配不同的品牌蓄电池和容量・安全性・可选配工作装置・环保性无污染三、叉车分类ZHQED30四、叉车简介ZHQED3。
中国重汽ZZ4181N361GD1Z集装箱半挂牵引车,该车为成熟产品，动力性优越，油耗低，性能稳定可靠，并具有多种个性化配置可选，驾驶室美观大方，安全舒适 适用于公路长途标载运输及中短途运输。
中国重汽ZZ4183M3611C牵引汽车,HOKA系列牵引车驾驶室，具有结构紧凑，线条威猛，内部空间超大，舒适宽敞，视野开阔，车门开启角度大，驾驶室翻转角度大，维护方便等优点。
中国重汽ZZ4183N3611D1N牵引汽车,该车为中国重汽成熟产品，结构稳定可靠，承载能力强，动力性优越，性能稳定可靠，可满足不同路况使用 驾驶室美观大方、安全舒适，适用于公路长途运输及高速公路运输。
中国重汽ZZ4184K3616C1牵引汽车,"该系列车型采用国内成熟中型车总成和零部件，匹配L2000新款驾驶室,产品具有较好的适应性、经济性及动力性,功率覆盖范围220PS―260PS 主要适用于城镇货物周转及中短途运输。"
中国重汽ZZ4185M3516C牵引汽车,豪瀚系列牵引车动力强劲，油耗低，性能稳定、可靠，自重轻，并具有多种个性化配置可选 “豪瀚”新款驾驶室豪华、大气、美观，安全舒适。
中国重汽ZZ4187M361GD1牵引车,该车采用MAN核心总成技术开发的全新一代高端中重卡产品，燃油经济性突出，自重轻，动力性优越，性能稳定可靠，并具有多种个性化配置可选，驾驶室美观大方，安全舒适。
中国重汽ZZ4201M25C1C1牵引汽车,金王子系列牵引车采用德国MAN技术L2000驾驶室，四点悬浮驾驶室悬置，具有结构紧凑，线条大方，舒适宽敞，视野开阔，车门开启角度大，驾驶室翻转角度大，维护方便等优点。
中国重汽ZZ4203N25C1C1牵引汽车,系列牵引车驾驶室，具有结构紧凑，线条威猛，内部空间超大，舒适宽敞，视野开阔，车门开启角度大，驾驶室翻转角度大，维护方便等优点。
中国重汽ZZ4257N3237CZ牵引车,该车为成熟产品，结构稳定可靠，承载能力强，动力性优越，性能稳定可靠，可满足不同路况使用 驾驶室美观大方、安全舒适，适用于公路长途运输及高速公路运输。
中国重汽ZZ4257N3247N1B牵引车,全新一代公路牵引车，自重轻，外观美观，内饰豪华，驾乘舒适 适用于公路长途标载运输及中短途运输 尤其适用于集装箱运输。
大运CGC4180牵引车,CGC4180主要技术参数（DYX4180PB35WPD3AA2）整备质量（kg）6608总质量（kg）18000鞍载质量（kg）10435准拖挂车总质量（kg）31835最高车……
大连叉车S0210蓄电池牵引车,叉车型号：S0210 设备代码:最大牵引力(N)：3000 拖挂高度(mm)：320570 最大行驶速度(Kmh)：13 最小转弯半径(mm)：2000 最小离地间隙(mm)……
合力QY2025系列内燃牵引车,技术参数型号QYC20JQYC20J1QYCD20JQYCD20J1QYCD25JQYCD25J1QYQ20RQYQ20R1QYQD20RQYQD20R1QY……
合力QY60系列牵引车,技术参数型号QYCD60WX最大牵引力（N）60000空载最大行驶速度 前进后退（kmh）2626爬坡度（%）30最小转弯半径（mm）4800整车质量（含油水，kg）90……
美科斯QD2QD10型蓄电池牵引车,型 号单 位QD2QD10动力形式电动电动额定牵引重量T2.310蓄电池容量AH330520最小离地间隙mm10590最小转弯半径mm13201900轴距mm9701150制动距离……
梅狮QD30电动牵引车,型号单位QD30最大牵引重量Kg3000最小离地高度mm100轴距mm1040后悬距mm360后轮距mm745最小转弯半径mm1180牵引杆中心距离地高度mm340牵杆板宽mm80……
徐工祺龙系列6×2牵引车,整车型号NXG4250D3KB驱动形式6×2性能参数最高车速(kmh)95最大爬坡度(%)20最大驻坡度(%)20最小转弯直径(m)24油箱容积(L)240最小离地距离[满载](……
大运CGC4255D4YCA(N9)牵引车,整车整备质量（kg）8500总质量（kg）25000外形尺寸（mm）6955×2496×3650最大爬坡度（%）30马力（ps）430发动机型号WP12.430E40发动机厂家潍柴……
